employee_id,request_date,leave_type,approval_status,absence_code
37,4/18/2021,Vacation,Approved,Vacation
50,4/22/2021,Parental,Approved,Parental
55,4/7/2021,Sick,Approved,Sick
94,4/9/2021,Sick,Approved,Sick
108,4/18/2021,Vacation,Approved,Vacation
197,4/8/2021,Parental,Approved,Parental
265,4/7/2021,Parental,Approved,Parental
43,5/7/2021,Personal,Approved,Personal
48,5/30/2021,Personal,Approved,Personal
53,5/10/2021,Sick,Approved,Sick
99,5/28/2021,Parental,Approved,Parental
164,5/12/2021,Vacation,Approved,Vacation
203,5/11/2021,Personal,Approved,Personal
284,5/19/2021,Sick,Approved,Sick
285,5/23/2021,Vacation,Denied,None
298,5/6/2021,Sick,Approved,Sick
304,5/8/2021,Parental,Approved,Parental
312,5/28/2021,Personal,Approved,Personal
61,6/25/2021,Sick,Approved,Sick
71,6/5/2021,Vacation,Approved,Vacation
73,6/13/2021,Parental,Approved,Parental
89,6/20/2021,Vacation,Approved,Vacation
186,6/15/2021,Personal,Approved,Personal
206,6/8/2021,Vacation,Approved,Vacation
208,6/15/2021,Parental,Approved,Parental
257,6/22/2021,Personal,Approved,Personal
270,6/18/2021,Sick,Approved,Sick
272,6/12/2021,Sick,Approved,Sick
292,6/4/2021,Vacation,Denied,None
314,6/29/2021,Vacation,Approved,Vacation
32,7/25/2021,Vacation,Approved,Vacation
47,7/23/2021,Sick,Approved,Sick
79,7/15/2021,Sick,Approved,Sick
113,7/10/2021,Parental,Approved,Parental
120,7/15/2021,Sick,Approved,Sick
149,7/27/2021,Sick,Approved,Sick
160,7/31/2021,Sick,Approved,Sick
178,7/24/2021,Sick,Approved,Sick
190,7/26/2021,Personal,Approved,Personal
207,7/19/2021,Vacation,Approved,Vacation
214,7/9/2021,Personal,Approved,Personal
242,7/31/2021,Parental,Approved,Parental
274,7/30/2021,Personal,Approved,Personal
275,7/17/2021,Vacation,Approved,Vacation
293,7/13/2021,Parental,Approved,Parental
11,8/17/2021,Sick,Approved,Sick
21,8/30/2021,Vacation,Approved,Vacation
28,8/16/2021,Vacation,Approved,Vacation
44,8/31/2021,Sick,Approved,Sick
68,8/24/2021,Sick,Approved,Sick
115,8/18/2021,Parental,Approved,Parental
175,8/7/2021,Vacation,Approved,Vacation
184,8/17/2021,Personal,Approved,Personal
214,8/6/2021,Parental,Approved,Parental
218,8/7/2021,Parental,Approved,Parental
236,8/12/2021,Vacation,Approved,Vacation
288,8/8/2021,Sick,Approved,Sick
7,9/8/2021,Sick,Approved,Sick
89,9/18/2021,Vacation,Approved,Vacation
119,9/15/2021,Sick,Approved,Sick
130,9/30/2021,Parental,Denied,None
172,9/3/2021,Sick,Approved,Sick
175,9/23/2021,Personal,Approved,Personal
177,9/9/2021,Parental,Approved,Parental
207,9/16/2021,Sick,Approved,Sick
220,9/17/2021,Parental,Approved,Parental
241,9/8/2021,Sick,Approved,Sick
247,9/7/2021,Vacation,Approved,Vacation
272,9/19/2021,Personal,Approved,Personal
313,9/11/2021,Vacation,Approved,Vacation
315,9/21/2021,Vacation,Approved,Vacation
316,9/5/2021,Vacation,Pending,None
2,10/6/2021,Personal,Approved,Personal
4,10/11/2021,Parental,Approved,Parental
38,10/24/2021,Sick,Approved,Sick
53,10/18/2021,Parental,Approved,Parental
83,10/7/2021,Parental,Approved,Parental
86,10/21/2021,Vacation,Approved,Vacation
101,10/4/2021,Parental,Approved,Parental
115,10/7/2021,Parental,Approved,Parental
129,10/20/2021,Personal,Approved,Personal
160,10/15/2021,Personal,Approved,Personal
170,10/10/2021,Sick,Approved,Sick
195,10/9/2021,Personal,Approved,Personal
207,10/21/2021,Vacation,Approved,Vacation
216,10/23/2021,Personal,Approved,Personal
219,10/8/2021,Vacation,Approved,Vacation
220,10/30/2021,Personal,Denied,None
223,10/28/2021,Parental,Approved,Parental
226,10/28/2021,Parental,Approved,Parental
259,10/20/2021,Sick,Denied,None
331,10/4/2021,Parental,Denied,None
20,11/19/2021,Personal,Denied,None
108,11/19/2021,Vacation,Approved,Vacation
112,11/28/2021,Personal,Approved,Personal
117,11/14/2021,Sick,Approved,Sick
122,11/21/2021,Personal,Pending,None
140,11/27/2021,Parental,Approved,Parental
142,11/29/2021,Vacation,Denied,None
186,11/5/2021,Personal,Approved,Personal
240,11/8/2021,Sick,Pending,None
306,11/9/2021,Parental,Approved,Parental
313,11/16/2021,Parental,Approved,Parental
319,11/19/2021,Sick,Denied,None
68,12/16/2021,Personal,Approved,Personal
72,12/24/2021,Vacation,Approved,Vacation
117,12/30/2021,Sick,Pending,None
140,12/28/2021,Sick,Approved,Sick
152,12/11/2021,Personal,Approved,Personal
158,12/9/2021,Vacation,Approved,Vacation
168,12/20/2021,Personal,Approved,Personal
194,12/30/2021,Vacation,Approved,Vacation
220,12/23/2021,Sick,Approved,Sick
235,12/25/2021,Parental,Approved,Parental
272,12/11/2021,Personal,Approved,Personal
284,12/7/2021,Vacation,Denied,None
304,12/5/2021,Parental,Pending,None
346,12/16/2021,Parental,Approved,Parental
355,12/19/2021,Parental,Approved,Parental
20,1/28/2022,Parental,Approved,Parental
38,1/12/2022,Sick,Approved,Sick
98,1/7/2022,Vacation,Approved,Vacation
99,1/9/2022,Sick,Approved,Sick
101,1/10/2022,Personal,Approved,Personal
116,1/13/2022,Parental,Approved,Parental
127,1/15/2022,Vacation,Pending,None
147,1/29/2022,Sick,Approved,Sick
201,1/23/2022,Personal,Approved,Personal
211,1/28/2022,Parental,Approved,Parental
256,1/18/2022,Vacation,Approved,Vacation
288,1/28/2022,Parental,Approved,Parental
303,1/20/2022,Parental,Approved,Parental
316,1/8/2022,Vacation,Approved,Vacation
319,1/16/2022,Vacation,Approved,Vacation
321,1/14/2022,Vacation,Denied,None
350,1/22/2022,Personal,Approved,Personal
354,1/21/2022,Parental,Approved,Parental
16,2/6/2022,Vacation,Approved,Vacation
52,2/6/2022,Personal,Approved,Personal
62,2/21/2022,Parental,Approved,Parental
69,2/6/2022,Parental,Approved,Parental
96,2/6/2022,Parental,Approved,Parental
108,2/28/2022,Personal,Approved,Personal
162,2/25/2022,Sick,Approved,Sick
173,2/25/2022,Personal,Approved,Personal
190,2/24/2022,Sick,Approved,Sick
279,2/19/2022,Sick,Approved,Sick
19,3/12/2022,Parental,Approved,Parental
28,3/11/2022,Personal,Approved,Personal
80,3/7/2022,Parental,Approved,Parental
109,3/19/2022,Vacation,Approved,Vacation
141,3/12/2022,Vacation,Approved,Vacation
208,3/7/2022,Personal,Denied,None
257,3/25/2022,Sick,Approved,Sick
304,3/31/2022,Parental,Approved,Parental
350,3/8/2022,Sick,Denied,None
364,3/8/2022,Parental,Approved,Parental
11,4/30/2022,Vacation,Approved,Vacation
19,4/25/2022,Personal,Approved,Personal
44,4/3/2022,Personal,Approved,Personal
53,4/30/2022,Vacation,Approved,Vacation
125,4/27/2022,Parental,Approved,Parental
197,4/5/2022,Vacation,Approved,Vacation
206,4/17/2022,Sick,Approved,Sick
236,4/18/2022,Vacation,Approved,Vacation
300,4/22/2022,Vacation,Approved,Vacation
310,4/20/2022,Parental,Approved,Parental
323,4/15/2022,Sick,Approved,Sick
342,4/15/2022,Vacation,Approved,Vacation
356,4/30/2022,Parental,Pending,None
5,5/15/2022,Personal,Approved,Personal
10,5/5/2022,Parental,Approved,Parental
11,5/19/2022,Vacation,Approved,Vacation
20,5/10/2022,Vacation,Approved,Vacation
96,5/14/2022,Vacation,Approved,Vacation
101,5/5/2022,Sick,Approved,Sick
167,5/17/2022,Sick,Approved,Sick
187,5/16/2022,Parental,Approved,Parental
196,5/24/2022,Personal,Approved,Personal
237,5/15/2022,Personal,Denied,None
249,5/11/2022,Personal,Approved,Personal
257,5/27/2022,Vacation,Approved,Vacation
339,5/5/2022,Vacation,Approved,Vacation
364,5/6/2022,Parental,Approved,Parental
368,5/12/2022,Vacation,Approved,Vacation
55,6/8/2022,Parental,Approved,Parental
81,6/16/2022,Parental,Approved,Parental
89,6/7/2022,Personal,Approved,Personal
113,6/17/2022,Sick,Approved,Sick
211,6/13/2022,Sick,Approved,Sick
222,6/11/2022,Parental,Approved,Parental
257,6/15/2022,Vacation,Pending,None
294,6/24/2022,Personal,Approved,Personal
319,6/4/2022,Vacation,Approved,Vacation
326,6/30/2022,Sick,Approved,Sick
328,6/4/2022,Parental,Approved,Parental
35,7/29/2022,Sick,Approved,Sick
59,7/6/2022,Sick,Approved,Sick
99,7/15/2022,Parental,Approved,Parental
211,7/25/2022,Personal,Approved,Personal
246,7/5/2022,Vacation,Approved,Vacation
283,7/20/2022,Vacation,Approved,Vacation
291,7/17/2022,Sick,Approved,Sick
336,7/15/2022,Vacation,Denied,None
344,7/7/2022,Personal,Approved,Personal
358,7/18/2022,Sick,Denied,None
389,7/17/2022,Personal,Approved,Personal
28,8/19/2022,Parental,Approved,Parental
49,8/8/2022,Parental,Denied,None
91,8/24/2022,Vacation,Approved,Vacation
187,8/16/2022,Personal,Approved,Personal
221,8/16/2022,Personal,Approved,Personal
223,8/28/2022,Sick,Approved,Sick
225,8/31/2022,Vacation,Approved,Vacation
239,8/12/2022,Personal,Approved,Personal
242,8/31/2022,Parental,Approved,Parental
253,8/15/2022,Sick,Approved,Sick
279,8/25/2022,Sick,Approved,Sick
311,8/20/2022,Personal,Approved,Personal
320,8/12/2022,Vacation,Denied,None
326,8/31/2022,Personal,Approved,Personal
330,8/10/2022,Sick,Approved,Sick
348,8/26/2022,Parental,Approved,Parental
359,8/6/2022,Parental,Approved,Parental
381,8/13/2022,Sick,Approved,Sick
382,8/6/2022,Sick,Approved,Sick
408,8/4/2022,Personal,Denied,None
3,9/23/2022,Personal,Approved,Personal
30,9/8/2022,Personal,Approved,Personal
39,9/13/2022,Personal,Approved,Personal
67,9/5/2022,Parental,Approved,Parental
73,9/14/2022,Personal,Approved,Personal
91,9/15/2022,Vacation,Approved,Vacation
124,9/15/2022,Personal,Approved,Personal
160,9/5/2022,Vacation,Approved,Vacation
168,9/17/2022,Sick,Approved,Sick
234,9/24/2022,Parental,Approved,Parental
245,9/13/2022,Vacation,Approved,Vacation
263,9/11/2022,Parental,Approved,Parental
273,9/23/2022,Personal,Approved,Personal
300,9/8/2022,Vacation,Approved,Vacation
373,9/7/2022,Sick,Approved,Sick
388,9/22/2022,Sick,Approved,Sick
403,9/27/2022,Vacation,Approved,Vacation
415,9/19/2022,Personal,Approved,Personal
416,9/16/2022,Parental,Approved,Parental
418,9/24/2022,Personal,Approved,Personal
17,10/19/2022,Sick,Approved,Sick
36,10/9/2022,Parental,Pending,None
62,10/22/2022,Vacation,Approved,Vacation
103,10/6/2022,Sick,Approved,Sick
152,10/19/2022,Sick,Approved,Sick
167,10/6/2022,Sick,Approved,Sick
168,10/18/2022,Vacation,Approved,Vacation
190,10/5/2022,Sick,Approved,Sick
209,10/11/2022,Parental,Approved,Parental
211,10/29/2022,Personal,Approved,Personal
238,10/16/2022,Vacation,Approved,Vacation
278,10/29/2022,Vacation,Approved,Vacation
284,10/18/2022,Personal,Approved,Personal
334,10/6/2022,Personal,Approved,Personal
1,11/9/2022,Parental,Approved,Parental
10,11/8/2022,Personal,Approved,Personal
19,11/28/2022,Personal,Approved,Personal
22,11/19/2022,Vacation,Approved,Vacation
36,11/17/2022,Personal,Denied,None
49,11/5/2022,Personal,Approved,Personal
103,11/25/2022,Personal,Approved,Personal
154,11/18/2022,Personal,Approved,Personal
212,11/22/2022,Vacation,Approved,Vacation
221,11/28/2022,Sick,Denied,None
297,11/21/2022,Parental,Approved,Parental
326,11/23/2022,Sick,Pending,None
331,11/26/2022,Vacation,Approved,Vacation
378,11/28/2022,Personal,Approved,Personal
381,11/29/2022,Sick,Approved,Sick
400,11/10/2022,Parental,Approved,Parental
418,11/22/2022,Vacation,Approved,Vacation
438,11/18/2022,Parental,Approved,Parental
47,12/11/2022,Vacation,Approved,Vacation
130,12/31/2022,Sick,Pending,None
133,12/10/2022,Sick,Approved,Sick
147,12/29/2022,Parental,Approved,Parental
170,12/8/2022,Vacation,Denied,None
208,12/28/2022,Vacation,Approved,Vacation
225,12/7/2022,Personal,Approved,Personal
234,12/10/2022,Sick,Approved,Sick
263,12/29/2022,Personal,Approved,Personal
289,12/6/2022,Vacation,Pending,None
303,12/9/2022,Parental,Approved,Parental
338,12/14/2022,Personal,Approved,Personal
368,12/6/2022,Sick,Denied,None
376,12/23/2022,Sick,Denied,None
383,12/15/2022,Parental,Approved,Parental
402,12/26/2022,Vacation,Approved,Vacation
417,12/30/2022,Sick,Approved,Sick
427,12/5/2022,Vacation,Approved,Vacation
452,12/19/2022,Sick,Approved,Sick
2,1/14/2023,Sick,Approved,Sick
42,1/18/2023,Parental,Approved,Parental
153,1/5/2023,Vacation,Approved,Vacation
184,1/29/2023,Personal,Approved,Personal
242,1/24/2023,Sick,Approved,Sick
279,1/30/2023,Parental,Approved,Parental
373,1/18/2023,Parental,Approved,Parental
377,1/4/2023,Parental,Approved,Parental
458,1/27/2023,Parental,Approved,Parental
460,1/15/2023,Parental,Approved,Parental
60,2/27/2023,Sick,Approved,Sick
79,2/24/2023,Personal,Approved,Personal
103,2/14/2023,Vacation,Approved,Vacation
165,2/1/2023,Vacation,Approved,Vacation
170,2/21/2023,Vacation,Approved,Vacation
171,2/25/2023,Vacation,Approved,Vacation
266,2/12/2023,Parental,Approved,Parental
291,2/26/2023,Parental,Approved,Parental
313,2/28/2023,Parental,Approved,Parental
318,2/26/2023,Vacation,Approved,Vacation
327,2/20/2023,Sick,Approved,Sick
331,2/6/2023,Sick,Denied,None
350,2/7/2023,Personal,Approved,Personal
379,2/22/2023,Vacation,Approved,Vacation
392,2/20/2023,Sick,Approved,Sick
446,2/21/2023,Vacation,Approved,Vacation
456,2/20/2023,Sick,Approved,Sick
474,2/2/2023,Sick,Approved,Sick
20,3/18/2023,Personal,Approved,Personal
28,3/18/2023,Parental,Approved,Parental
45,3/10/2023,Vacation,Approved,Vacation
88,3/4/2023,Vacation,Approved,Vacation
90,3/23/2023,Personal,Approved,Personal
103,3/19/2023,Vacation,Approved,Vacation
113,3/16/2023,Sick,Approved,Sick
127,3/6/2023,Sick,Approved,Sick
164,3/21/2023,Personal,Approved,Personal
252,3/15/2023,Vacation,Approved,Vacation
278,3/24/2023,Parental,Approved,Parental
283,3/26/2023,Personal,Approved,Personal
293,3/4/2023,Vacation,Approved,Vacation
352,3/30/2023,Vacation,Pending,None
380,3/10/2023,Parental,Approved,Parental
409,3/12/2023,Personal,Denied,None
417,3/10/2023,Personal,Approved,Personal
465,3/29/2023,Personal,Approved,Personal
467,3/25/2023,Sick,Approved,Sick
484,3/4/2023,Sick,Approved,Sick
2,4/21/2023,Vacation,Approved,Vacation
6,4/30/2023,Sick,Approved,Sick
7,4/24/2023,Sick,Denied,None
62,4/14/2023,Personal,Approved,Personal
100,4/17/2023,Personal,Approved,Personal
158,4/23/2023,Vacation,Approved,Vacation
207,4/11/2023,Personal,Approved,Personal
214,4/30/2023,Parental,Approved,Parental
225,4/4/2023,Personal,Approved,Personal
235,4/9/2023,Parental,Approved,Parental
245,4/4/2023,Parental,Approved,Parental
250,4/5/2023,Personal,Approved,Personal
252,4/14/2023,Sick,Approved,Sick
341,4/21/2023,Personal,Approved,Personal
410,4/25/2023,Personal,Approved,Personal
423,4/28/2023,Personal,Approved,Personal
426,4/6/2023,Personal,Approved,Personal
435,4/4/2023,Sick,Denied,None
455,4/29/2023,Personal,Approved,Personal
458,4/18/2023,Personal,Approved,Personal
20,5/15/2023,Parental,Pending,None
27,5/31/2023,Parental,Approved,Parental
33,5/18/2023,Sick,Approved,Sick
43,5/19/2023,Sick,Approved,Sick
108,5/15/2023,Sick,Approved,Sick
120,5/4/2023,Personal,Approved,Personal
125,5/20/2023,Parental,Approved,Parental
139,5/10/2023,Sick,Approved,Sick
142,5/15/2023,Parental,Denied,None
164,5/14/2023,Vacation,Approved,Vacation
199,5/31/2023,Personal,Approved,Personal
204,5/11/2023,Personal,Approved,Personal
326,5/22/2023,Sick,Approved,Sick
339,5/8/2023,Sick,Approved,Sick
390,5/24/2023,Vacation,Approved,Vacation
396,5/20/2023,Vacation,Pending,None
404,5/17/2023,Sick,Approved,Sick
434,5/9/2023,Vacation,Approved,Vacation
445,5/12/2023,Parental,Approved,Parental
466,5/12/2023,Sick,Approved,Sick
516,5/25/2023,Sick,Approved,Sick
19,6/6/2023,Parental,Approved,Parental
44,6/18/2023,Vacation,Approved,Vacation
119,6/30/2023,Personal,Denied,None
220,6/21/2023,Personal,Approved,Personal
248,6/3/2023,Sick,Approved,Sick
266,6/30/2023,Parental,Approved,Parental
345,6/6/2023,Sick,Pending,None
378,6/9/2023,Personal,Approved,Personal
382,6/7/2023,Vacation,Approved,Vacation
399,6/7/2023,Sick,Approved,Sick
429,6/22/2023,Parental,Approved,Parental
440,6/10/2023,Vacation,Approved,Vacation
462,6/25/2023,Sick,Approved,Sick
463,6/25/2023,Vacation,Approved,Vacation
482,6/18/2023,Parental,Approved,Parental
501,6/23/2023,Sick,Approved,Sick
509,6/8/2023,Personal,Approved,Personal
22,7/6/2023,Sick,Approved,Sick
34,7/29/2023,Personal,Approved,Personal
40,7/5/2023,Personal,Approved,Personal
42,7/26/2023,Sick,Approved,Sick
88,7/27/2023,Parental,Approved,Parental
135,7/13/2023,Vacation,Approved,Vacation
136,7/31/2023,Parental,Approved,Parental
162,7/8/2023,Personal,Approved,Personal
175,7/27/2023,Vacation,Approved,Vacation
198,7/23/2023,Sick,Approved,Sick
213,7/8/2023,Parental,Approved,Parental
285,7/27/2023,Personal,Approved,Personal
295,7/15/2023,Sick,Pending,None
368,7/20/2023,Vacation,Approved,Vacation
392,7/18/2023,Sick,Approved,Sick
447,7/17/2023,Sick,Approved,Sick
517,7/27/2023,Vacation,Approved,Vacation
535,7/14/2023,Vacation,Approved,Vacation
537,7/15/2023,Vacation,Approved,Vacation
109,8/10/2023,Personal,Approved,Personal
152,8/22/2023,Parental,Approved,Parental
245,8/13/2023,Sick,Approved,Sick
297,8/25/2023,Vacation,Denied,None
328,8/13/2023,Personal,Approved,Personal
333,8/25/2023,Vacation,Approved,Vacation
347,8/13/2023,Sick,Approved,Sick
372,8/16/2023,Vacation,Denied,None
374,8/10/2023,Personal,Approved,Personal
388,8/26/2023,Personal,Approved,Personal
408,8/9/2023,Sick,Approved,Sick
414,8/4/2023,Personal,Approved,Personal
440,8/31/2023,Sick,Approved,Sick
445,8/25/2023,Personal,Approved,Personal
449,8/27/2023,Personal,Approved,Personal
482,8/31/2023,Personal,Approved,Personal
489,8/11/2023,Personal,Approved,Personal
508,8/14/2023,Parental,Approved,Parental
534,8/4/2023,Vacation,Approved,Vacation
536,8/19/2023,Vacation,Approved,Vacation
538,8/14/2023,Personal,Approved,Personal
546,8/11/2023,Personal,Approved,Personal
44,9/21/2023,Vacation,Approved,Vacation
116,9/13/2023,Vacation,Approved,Vacation
127,9/22/2023,Parental,Approved,Parental
134,9/25/2023,Sick,Approved,Sick
158,9/20/2023,Sick,Approved,Sick
185,9/7/2023,Vacation,Approved,Vacation
212,9/18/2023,Parental,Approved,Parental
239,9/23/2023,Sick,Approved,Sick
290,9/7/2023,Sick,Approved,Sick
314,9/23/2023,Parental,Pending,None
327,9/28/2023,Sick,Approved,Sick
371,9/26/2023,Personal,Denied,None
382,9/29/2023,Vacation,Approved,Vacation
408,9/6/2023,Vacation,Approved,Vacation
475,9/19/2023,Personal,Approved,Personal
476,9/23/2023,Vacation,Approved,Vacation
486,9/3/2023,Vacation,Approved,Vacation
489,9/10/2023,Parental,Denied,None
496,9/23/2023,Sick,Approved,Sick
517,9/8/2023,Sick,Denied,None
542,9/12/2023,Parental,Approved,Parental
567,9/15/2023,Personal,Approved,Personal
30,10/17/2023,Personal,Approved,Personal
184,10/27/2023,Vacation,Approved,Vacation
204,10/12/2023,Vacation,Denied,None
216,10/24/2023,Vacation,Approved,Vacation
246,10/26/2023,Personal,Approved,Personal
257,10/14/2023,Personal,Denied,None
